"","Date","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1",2017-08-28,2740,2753.2,2704,2738.15,2742.05,227147,6199.86
"2",2017-08-24,2764.3,2764.3,2710.1,2726,2728.55,213909,5834.17
"3",2017-08-23,2757,2769.9,2720.05,2759.5,2754.65,117188,3227.05
"4",2017-08-22,2779.9,2779.9,2731.55,2735,2740.55,80340,2214.11
"5",2017-08-21,2811,2820,2760.1,2760.1,2766.5,77884,2169.26
"6",2017-08-18,2817.8,2824.3,2791,2803.95,2811.35,128913,3618.66
"7",2017-08-17,2850,2868.1,2816,2830,2825.85,152160,4308.69
"8",2017-08-16,2832,2861,2810.05,2831.65,2849.2,129201,3676.64
"9",2017-08-14,2798,2841.8,2786,2827,2831.6,165120,4657.57
"10",2017-08-11,2780,2798.45,2750,2790,2788.2,321890,8928.12
"11",2017-08-10,2818,2831.15,2761,2808.8,2796.2,497306,13898.79
"12",2017-08-09,2919.5,2929.05,2807.1,2820,2831.15,305248,8728.06
"13",2017-08-08,2890,2981,2876,2920,2911.6,763401,22453.31
"14",2017-08-07,2875,2903.55,2868.35,2890,2889.25,169287,4887.9
"15",2017-08-04,2824,2900,2811.15,2873.65,2874.65,257208,7368.27
"16",2017-08-03,2805,2838.7,2800.05,2834,2834.25,325945,9203.64
"17",2017-08-02,2789.95,2817.7,2786,2799.75,2802.9,298840,8366.69
"18",2017-08-01,2812,2830.5,2798.05,2826,2823.4,190726,5375.62
"19",2017-07-31,2845,2845,2785,2812,2808.55,173664,4872.27
"20",2017-07-28,2810,2867,2804.45,2831,2828.15,136729,3858.48
"21",2017-07-27,2849.5,2869.1,2825.05,2852.4,2840.3,306789,8731.03
"22",2017-07-26,2846,2852.8,2829.2,2845,2841.35,252553,7167.85
"23",2017-07-25,2840,2862.4,2819.25,2840,2847.7,220402,6269.96
"24",2017-07-24,2815,2834.95,2802.2,2819.05,2826.75,204810,5778.16
"25",2017-07-21,2818.6,2840.7,2806.35,2815,2815.8,319397,9008.27
"26",2017-07-20,2823.4,2855.85,2800.1,2816,2818.6,675692,19090.18
"27",2017-07-19,2834,2835,2802.4,2834.95,2823.7,247730,6977.97
"28",2017-07-18,2827.8,2847.9,2818,2831,2831.75,195878,5541.59
"29",2017-07-17,2819.85,2828.55,2800,2826.2,2821.25,134022,3774.46
"30",2017-07-14,2800,2816.9,2767.55,2811.2,2809.8,150816,4222.74
"31",2017-07-13,2795,2806.75,2780.45,2788.85,2789.75,303857,8477.21
"32",2017-07-12,2801,2818,2774.3,2788,2785.85,288437,8037.6
"33",2017-07-11,2735.7,2803,2735.7,2798.05,2792.75,393672,10916.31
"34",2017-07-10,2844,2844,2700,2731,2730.65,20831,568.58
"35",2017-07-07,2716,2733,2694.5,2710,2708.25,290037,7843.06
"36",2017-07-06,2734,2741,2722.9,2726,2728.6,488894,13348.1
"37",2017-07-05,2761.3,2784.45,2751,2773,2771.25,251283,6952.45
"38",2017-07-04,2790,2790,2755,2779.6,2769.65,331944,9181.7
"39",2017-07-03,2769,2793.5,2750.55,2793.5,2789.35,335713,9321.12
"40",2017-06-30,2796,2799.7,2764.45,2790,2791.2,266443,7416.11
"41",2017-06-29,2787.8,2812,2779.25,2809,2801.3,224331,6277.07
"42",2017-06-28,2789,2801,2770.2,2784.5,2777.05,284660,7908.87
"43",2017-06-27,2828.45,2829.15,2761,2785,2779.3,322785,8973.05
"44",2017-06-23,2850,2850.45,2817,2827,2824.3,154968,4382.79
"45",2017-06-22,2817.5,2851,2807.35,2850,2845.7,223966,6362.05
"46",2017-06-21,2812,2828.1,2790.5,2815.6,2817.5,143712,4039.59
"47",2017-06-20,2810,2827.95,2806.5,2815,2815.3,274896,7741.01
"48",2017-06-19,2855,2894,2815,2815.3,2827.75,500836,14269.7
"49",2017-06-16,2815,2829.7,2801.4,2806,2809.8,209497,5895.57
"50",2017-06-15,2819,2848.2,2808.55,2810,2814.4,131874,3720.05
"51",2017-06-14,2800,2838.95,2800,2820,2825.15,157837,4458.94
"52",2017-06-13,2825,2857,2821.7,2830.45,2834.9,146666,4168.72
"53",2017-06-12,2855.15,2866.4,2818.45,2830.95,2824.6,365323,10370.53
"54",2017-06-09,2872,2879,2832.55,2861.25,2865.8,178737,5115.04
"55",2017-06-08,2872.2,2895,2863.2,2871.7,2868.15,142325,4085.59
"56",2017-06-07,2852,2897.55,2852,2875,2876,131500,3784.24
"57",2017-06-06,2900,2920,2863,2873.75,2873.55,136966,3944.77
"58",2017-06-05,2850,2930.45,2850,2895.3,2898.4,297406,8645.68
"59",2017-06-02,2804,2870,2772.85,2869.25,2852.85,381642,10762.32
"60",2017-06-01,2848,2888.25,2828.3,2835.7,2839.35,246574,7053.11
"61",2017-05-31,2850,2866,2835,2839.6,2845.95,430019,12265.07
"62",2017-05-30,2837,2863.95,2822,2859.9,2851.4,98514,2803.97
"63",2017-05-29,2813,2850.9,2787.75,2844,2837.95,155372,4377.64
"64",2017-05-26,2820,2835,2797.05,2808,2814.1,237938,6701.17
"65",2017-05-25,2764,2833.75,2760.9,2824,2822.8,389540,10875.68
"66",2017-05-24,2815,2866.35,2750,2780,2764.3,307723,8623.03
"67",2017-05-23,2928,2928,2812,2812.5,2824.95,482580,13770.33
"68",2017-05-22,2987.7,3003.95,2900.5,2910,2914.15,209411,6152.75
"69",2017-05-19,2973.35,3019,2946.1,2970.1,2972.65,246957,7355.53
"70",2017-05-18,3018,3033,2962.05,2965,2973.1,513008,15399.93
"71",2017-05-17,3001.25,3047.5,3001.25,3041,3039.7,303412,9195.72
"72",2017-05-16,2992.2,3029,2967.1,3015.5,3024,159021,4779.12
"73",2017-05-15,3005,3022.85,2985.1,2998.25,2999.7,106401,3197.2
"74",2017-05-12,3005,3018.45,2970,3000,3004.8,414871,12479.35
"75",2017-05-11,2905.3,3005.45,2897.05,2993.7,2998.45,416000,12350.39
"76",2017-05-10,2880,2908.95,2858.1,2905,2904.8,150174,4347.5
"77",2017-05-09,2864.25,2887.3,2835,2874.95,2873.15,274565,7888.8
"78",2017-05-08,2899.95,2908.4,2851,2853.05,2856.95,140340,4031.93
"79",2017-05-05,2939.85,2939.85,2882,2882,2887.65,146931,4273.28
"80",2017-05-04,2947.6,2947.6,2919,2940,2942.55,183545,5385.76
